,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
2193,https://jow.fr/recipes/poulet-legumes-vapeur-et-sauce-fines-herbes-8uad9qovm8ojah3c11nj,Poulet, légumes vapeur & sauce fines herbes,2 € et 4 € par portion,6 minutes,30 minutes,0 minutes,533 kcal,['Poulet (escalope)', 'Pommes de terre (primeur)', 'Brocoli (frais)', 'Crème fraîche', 'Persil (frais)', 'Citron jaune'],['1  ', '150 g', '100 g', '1 càs', '1/10 bou.', '1/4  '],,,,,,,,,,,,,
2194,https://jow.fr/recipes/poulet-sauce-miel-moutarde-et-legumes-rotis-8uae25b3m8ojah3c1awx,Poulet sauce miel moutarde & légumes rôtis,2 € et 4 € par portion,7 minutes,30 minutes,0 minutes,475 kcal,['Patate douce', 'Courgette', 'Oignon rouge', 'Poulet (escalope)', 'Moutarde', 'Miel (liquide)'],['150 g', '1  ', '1/4  ', '1  ', '1 càc', '1/2 càc'],,,,,,,,,,,,,,
2195,https://jow.fr/recipes/palet-veggie-legumes-rotis-et-tzatziki-8uatclsvm8ojah3d08m3,Palet veggie, légumes rôtis & tzatziki,2 € et 4 € par portion,7 minutes,40 minutes,0 minutes,488 kcal,['Patate douce', 'Courgette', 'Oignon rouge', 'Galettes de légumes', 'Tzatziki', 'Thym (feuilles)'],['150 g', '1  ', '1/4  ', '100 g', '50 g', '1 pinc.'],,,,,,,,,,,,,
2196,https://jow.fr/recipes/cabillaud-patates-douces-et-courgettes-roties-8uat5nbzm8ojah3d058w,Cabillaud, patates douces & courgettes rôties,+4 € par portion,7 minutes,30 minutes,0 minutes,388 kcal,['Patate douce', 'Courgette', 'Oignon rouge', 'Cabillaud (frais)', 'Thym (feuilles)', 'Citron jaune'],['150 g', '1  ', '1/4  ', '1  ', '1 pinc.', '1/8  '],,,,,,,,,,,,,
2197,https://jow.fr/recipes/quiche-chevre-champignon-et-epinard-8uatcodbm8ojah3d08pc,Quiche chèvre, champignon & épinard,-2 € par portion,15 minutes,45 minutes,0 minutes,444 kcal,['Pâte brisée', 'Œuf', 'Crème liquide', 'Lait', 'Chèvre frais', 'Champignons de Paris (frais)', 'Épinards (surgelés)', 'Farine de blé'],['1  ', '3  ', '10 cl', '10 cl', '100 g', '250 g', '400 g', '2 càs'],,,,,,,,,
2198,https://jow.fr/recipes/one-pan-poulet-et-citron-8uau0eovm8ojah3d0ddj,One pan poulet & citron,2 € et 4 € par portion,9 minutes,45 minutes,0 minutes,494 kcal,['Poulet (cuisse)', 'Olives vertes (dénoyautées)', 'Citron jaune', 'Pommes de terre', 'Oignon rouge', 'Ail'],['1  ', '40 g', '1/4  ', '200 g', '1/4  ', '1/2 gou.'],,,,,,,,,,,,,,
2199,https://jow.fr/recipes/croustiwrap-poulet-bacon-8ubeed9yh54y7d4c01k9,Croustiwrap poulet bacon,2 € et 4 € par portion,4 minutes,12 minutes,0 minutes,576 kcal,['Tortilla (blé)', 'Poulet (pané)', 'Salade (coeur de laitue)', 'Tomate', 'Lard (tranches)', 'Cheddar (tranches)', 'Sauce barbecue'],['1  ', '2  ', '1 poignée', '1  ', '2 tran.', '2 tran.', '1 càs'],,,,,,,,,,,,
2200,https://jow.fr/recipes/salade-de-lentilles-et-thon-8uc376bah54y7d4c0rbw,Salade de lentilles & thon,-2 € par portion,0 minutes,6 minutes,0 minutes,420 kcal,['Lentilles (cuites)', 'Thon (conserve)', 'Oignon rouge', 'Moutarde', 'Mayonnaise', 'Citron jaune', 'Persil (frais)'],['150 g', '50 g', '1/4  ', '1/2 càc', '1 càc', '1/2  ', '1/10 bou.'],,,,,,,,,,,,
2201,https://jow.fr/recipes/gratin-de-courgette-feta-et-jambon-8uc4888mh54y7d4d03jo,Gratin de courgette, feta & jambon ,2 € et 4 € par portion,7 minutes,35 minutes,0 minutes,361 kcal,['Courgette', 'Chapelure', 'Jambon blanc', 'Feta', 'Comté (râpé)'],['1  ', '1/2 càs', '2 tran.', '40 g', '20 g'],,,,,,,,,,,,,,,
2202,https://jow.fr/recipes/crispy-chicken-salad-8uc50b06h54y7d4d0cf0,Crispy chicken salad,2 € et 4 € par portion,10 minutes,12 minutes,0 minutes,527 kcal,['Poulet (pané)', 'Salade (coeur de laitue)', 'Tomate cerise', 'Avocat', 'Mayonnaise', 'Ketchup', 'Vinaigre de cidre', 'Oignon rouge'],['2  ', '2 poignées', '100 g', '1/2  ', '1 càc', '1/2 càc', '1 càc', '1/4  '],,,,,,,,,,
2203,https://jow.fr/recipes/sheet-pan-crevettes-tomates-et-haricots-verts-8ucp2p4mh54y7d4e0f0y,Sheet pan crevettes, tomates & haricots verts,2 € et 4 € par portion,3 minutes,20 minutes,0 minutes,360 kcal,['Haricot vert (surgelé)', 'Tomate cerise', 'Crevettes (crues/surgelées)', 'Citron jaune', 'Ail', 'Persil (frais)'],['150 g', '100 g', '100 g', '1/4  ', '1/2 gou.', '1/10 bou.'],,,,,,,,,,,,,
2204,https://jow.fr/recipes/crevettes-a-la-mediterraneenne-8ucpkpmeh54y7d4e0ilj,Crevettes à la méditerranéenne,2 € et 4 € par portion,6 minutes,30 minutes,0 minutes,422 kcal,['Poivron (assortiment)', 'Oignon rouge', 'Crevettes (crues/surgelées)', 'Ail', 'Citron jaune', 'Feta', 'Persil (frais)'],['1  ', '1/4  ', '150 g', '1/2 gou.', '1/4  ', '30 g', '1/10 bou.'],,,,,,,,,,,,
2205,https://jow.fr/recipes/wok-legumes-sautes-poulet-et-sauce-cacahuete-8ucq30s6h54y7d4e0kyc,Wok légumes sautés, poulet & sauce cacahuète,2 € et 4 € par portion,9 minutes,22 minutes,0 minutes,565 kcal,['Poulet (escalope)', 'Carotte (frais)', 'Courgette', 'Ail', 'Beurre de cacahuète', 'Sauce soja sucrée', 'Riz'],['1  ', '1  ', '1/2  ', '1/2 gou.', '1 càc', '1 càs', '70 g'],,,,,,,,,,,
2208,https://jow.fr/recipes/brochettes-de-poulet-et-legumes-grilles-8ugq3io583tsky9213n2,Brochettes de poulet & légumes grillés,+4 € par portion,7 minutes,16 minutes,30 minutes,666 kcal,['Poulet (escalope)', 'Maïs (épi frais)', 'Oignon rouge', 'Courgette', 'Sauce salade', 'Poivron rouge'],['1  ', '1  ', '1/4  ', '1/2  ', '2 càs', '1/2  '],,,,,,,,,,,,,,
2210,https://jow.fr/recipes/poelee-de-legumes-sautes-et-quinoa-8uij7susg3sx81q505af,Poêlée de légumes sautés & quinoa,-2 € par portion,3 minutes,13 minutes,0 minutes,485 kcal,['Quinoa (cru)', 'Poêlée de légumes (congelé)', 'Gingembre (frais)', 'Sauce Teriyaki', 'Sauce piment (Sriracha)'],['75 g', '100 g', '1 cm', '2 càs', '1/2 càc'],,,,,,,,,,,,,,,,
2214,https://jow.fr/recipes/gratin-de-conchiglioni-au-poulet-8uj4bz477mif2c2m0emg,Gratin de conchiglioni au poulet,+4 € par portion,6 minutes,8 minutes,0 minutes,1259 kcal,['Pâtes (conchiglioni)', 'Ricotta', 'Poulet rôti', 'Sauce tomate (basilic)', 'Mozzarella (râpé)', 'Parmesan (râpé)'],['100 g', '60 g', '100 g', '100 g', '50 g', '50 g'],,,,,,,,,,,,,,
2215,https://jow.fr/recipes/grilled-cheese-tomate-et-bacon-8uj58pl37mif2c2m0izy,Grilled cheese tomate & bacon,2 € et 4 € par portion,3 minutes,12 minutes,0 minutes,572 kcal,['Pain de campagne (tranché)', 'Tomate', 'Lard (tranches)', 'Cheddar (râpé)', 'Mayonnaise'],['2 tran.', '100 g', '2 tran.', '50 g', '1/2 càs'],,,,,,,,,,,,,,,,
2216,https://jow.fr/recipes/bagel-au-saumon-fume-8uj60vbb7mif2c2m0okf,Bagel au saumon fumé,+4 € par portion,4 minutes,1 minute,0 minutes,464 kcal,['Pain bagel', 'Fromage frais', 'Saumon (fumé)', 'Oignon rouge', 'Tomates multicolores', 'Câpres'],['1  ', '40 g', '2 tran.', '1/4  ', '100 g', '1 càs'],,,,,,,,,,,,,,
2218,https://jow.fr/recipes/ramen-au-porc-et-lait-de-coco-8uuth3kker29aoli0jlu,Ramen au porc & lait de coco,2 € et 4 € par portion,2 minutes,10 minutes,0 minutes,742 kcal,['Ramen curry', 'Œuf', 'Chair à saucisse', 'Tomate (concentré)', 'Lait de coco', 'Coriandre (frais)'],['150 g', '1  ', '100 g', '1 càc', '6 cl', '1/10 bou.'],,,,,,,,,,,,,,
2219,https://jow.fr/recipes/udon-au-potimarron-roti-et-champignons-8uuu955ger29aoli0mc2,Udon au potimarron rôti & champignons ,2 € et 4 € par portion,10 minutes,30 minutes,0 minutes,556 kcal,['Udon soja & sésame', 'Champignons bruns', 'Œuf', 'Potimarron'],['150 g', '150 g', '1  ', '1/4  '],,,,,,,,,,,,,,,,,,
2220,https://jow.fr/recipes/cabillaud-en-croute-de-parmesan-et-legumes-rotis-8uuuetzoer29aoli0onb,Cabillaud en croûte de parmesan & légumes rôtis,+4 € par portion,9 minutes,35 minutes,0 minutes,710 kcal,['Cabillaud (frais)', 'Chapelure', 'Beurre', 'Parmesan (râpé)', 'Pommes de terre (primeur)', 'Carotte (frais)', 'Sauce tartare'],['1  ', '10 g', '15 g', '20 g', '150 g', '1  ', '1 càs'],,,,,,,,,,,,
2221,https://jow.fr/recipes/udon-a-la-creme-de-champignons-lardons-et-oeuf-mollet-8uuugms4er29aoli0qns,Udon à la crème de champignons, lardons & œuf mollet,2 € et 4 € par portion,6 minutes,15 minutes,0 minutes,741 kcal,['Udon', 'Champignons bruns', 'Lardons', 'Crème fraîche', 'Œuf', 'Ciboulette'],['150 g', '150 g', '75 g', '1 càs', '1  ', '1/10 bou.'],,,,,,,,,,,,,
2222,https://jow.fr/recipes/udon-a-la-creme-de-curry-champignons-et-oeuf-8uuv47dger29aoli0tgi,Udon à la crème de curry, champignons & œuf ,2 € et 4 € par portion,6 minutes,8 minutes,0 minutes,558 kcal,['Udon', 'Curry (poudre)', 'Œuf', 'Champignons de Paris (frais)', 'Parmesan (morceaux)', 'Ail', 'Crème liquide'],['150 g', '1/2 càc', '1  ', '150 g', '20 g', '1 gou.', '5 ml'],,,,,,,,,,,
2223,https://jow.fr/recipes/poulet-en-croute-de-parmesan-et-legumes-rotis-8uyt8ohyelo3jgw51e56,Poulet en croûte de parmesan & légumes rôtis,2 € et 4 € par portion,9 minutes,50 minutes,0 minutes,767 kcal,['Poulet (escalope)', 'Margarine', 'Parmesan (râpé)', 'Chapelure', 'Carotte (frais)', 'Pommes de terre (primeur)', 'Thym (feuilles)'],['1  ', '20 g', '25 g', '20 g', '1  ', '150 g', '2 pinc.'],,,,,,,,,,,,
2226,https://jow.fr/recipes/poulet-sauce-moutarde-brocoli-et-riz-8uyw6kg6elo3jgw609ye,Poulet sauce moutarde, brocoli & riz,2 € et 4 € par portion,6 minutes,14 minutes,0 minutes,728 kcal,"['Poulet (escalope)', 'ancienne"", ', ', ', ', ', ', ', ']']",['1  ', '1 càc', '5 cl', '200 g', '70 g', '1/2  '],,,,,,,,,,,,,,,,,,
2227,https://jow.fr/recipes/poulet-sauce-moutarde-brocoli-et-spaghetti-8uyxaolielo3jgw60e8h,Poulet sauce moutarde, brocoli & spaghetti,2 € et 4 € par portion,6 minutes,14 minutes,0 minutes,840 kcal,"['Poulet (escalope)', 'ancienne"", ', ', ', ', ', ', ', ']']",['1  ', '1 càc', '5 cl', '200 g', '100 g', '1/2  '],,,,,,,,,,,,,,,,,,
2228,https://jow.fr/recipes/salade-de-lentilles-patate-douce-et-avocat-8uyy3sp2elo3jgw60h0v,Salade de lentilles, patate douce & avocat,2 € et 4 € par portion,9 minutes,25 minutes,0 minutes,568 kcal,['Lentilles (cuites)', 'Patate douce', 'Avocat', 'Moutarde', 'Miel (liquide)', 'Ciboulette'],['150 g', '150 g', '1/2  ', '1/2 càc', '1 càc', '1/10 bou.'],,,,,,,,,,,,,
2232,https://jow.fr/recipes/poulet-roti-au-miel-et-aux-epices-8uzk9vraelo3jgw70jpx,Poulet rôti au miel & aux épices ,+4 € par portion,18 minutes,1 h 30 min,0 minutes,971 kcal,['Poulet (entier)', 'Potimarron', 'Miel (liquide)', 'Sauce soja salée', 'Quatre-épices', 'Marrons (cuits en conserve)', 'Beurre'],['1  ', '1  ', '4 càs', '4 càs', '2 càc', '320 g', '80 g'],,,,,,,,,,,,
2233,https://jow.fr/recipes/bacon-egg-et-cheese-bagel-8uzkdqfaelo3jgw70o0t,Bacon, egg & cheese bagel,2 € et 4 € par portion,3 minutes,6 minutes,0 minutes,659 kcal,['Pain bagel', 'Cheddar (tranches)', 'Œuf', 'Lard (tranches)'],['1  ', '2 tran.', '2  ', '2 tran.'],,,,,,,,,,,,,,,,,
2234,https://jow.fr/recipes/sandwich-blt-au-poulet-frit-8uzl591ielo3jgw70ulx,Sandwich BLT au poulet frit,2 € et 4 € par portion,3 minutes,10 minutes,0 minutes,576 kcal,['Pain de mie (céréales)', 'Lard (tranches)', 'Poulet (pané)', 'Mayonnaise', 'Salade', 'Tomate'],['2 tran.', '2 tran.', '50 g', '1 càs', '20 g', '1/2  '],,,,,,,,,,,,,,
2235,https://jow.fr/recipes/pintade-rotie-au-cidre-pomme-et-puree-8uzlg35yelo3jgw70xw7,Pintade rôtie au cidre, pomme & purée,+4 € par portion,23 minutes,1 heure,0 minutes,1235 kcal,['Pintade (entière)', 'Pomme (à cuire)', 'Crème fraîche', 'Oignon jaune', 'Lardons', 'Cidre', 'Beurre', 'Pommes de terre'],['1  ', '4  ', '200 g', '1  ', '100 g', '13 cl', '60 g', '1 kg'],,,,,,,,,
2236,https://jow.fr/recipes/salade-semoule-tomates-cerises-et-pesto-8v01ep3dctpufsm01d4h,Salade semoule, tomates cerises & pesto,2 € et 4 € par portion,3 minutes,5 minutes,0 minutes,684 kcal,['Semoule', 'Tomate cerise', 'Pois chiches (cuits)', 'Sauce pesto', 'Salade (roquette)', 'Feta'],['50 g', '100 g', '100 g', '1 càs', '1 poignée', '30 g'],,,,,,,,,,,,,
2237,https://jow.fr/recipes/sandwich-blt-au-saumon-8uzkkidielo3jgw70r9c,Sandwich BLT au saumon,+4 € par portion,6 minutes,18 minutes,0 minutes,798 kcal,['Pain de mie (céréales)', 'Lard (tranches)', 'Saumon (frais)', 'Sauce pesto', 'Mayonnaise', 'Salade', 'Tomate'],['2 tran.', '2 tran.', '1  ', '1 càs', '1 càs', '10 g', '1/2  '],,,,,,,,,,,,
2238,https://jow.fr/recipes/chapon-farci-et-pommes-de-terre-hasselback-8v00lb49ctpufsm01ak0,Chapon farci & pommes de terre hasselback ,,40 minutes,1 h 30 min,0 minutes,2445 kcal,['Chapon (entier)', 'Pommes de terre', 'Pain de mie', 'Marrons (cuits en conserve)', 'Échalote', 'Jambon cru', 'Lait', 'Œuf', 'Persil (frais)', 'Noix', 'Armagnac'],['1  ', '800 g', '4 tran.', '125 g', '2  ', '4 tran.', '8 cl', '1  ', '2/5 bou.', '80 g', '2 càs'],,,,
2239,https://jow.fr/recipes/dinde-rotie-aux-fruits-secs-et-legumes-8v040ww9ctpufsm10388,Dinde rôtie aux fruits secs & légumes ,+4 € par portion,25 minutes,1 h 30 min,0 minutes,1369 kcal,['Dinde (entière)', 'Beurre', 'Oignon jaune', 'Pommes de terre', 'Carotte (frais)', 'Abricots (secs)', 'Pruneau', 'Romarin (séché)'],['1  ', '50 g', '1.5  ', '1.2 kg', '1.2 kg', '180 g', '180 g', '2 càc'],,,,,,,,,,
2240,https://jow.fr/recipes/butternut-pasta-carbonara-8v0549e1ctpufsm107z8,Butternut pasta carbonara,2 € et 4 € par portion,10 minutes,20 minutes,0 minutes,907 kcal,['Pâtes (Tagliatelles sèches)', 'Pancetta', 'Œuf', 'Parmesan (morceaux)', 'Courge butternut'],['100 g', '3 tran.', '1  ', '40 g', '200 g'],,,,,,,,,,,,,,,,
2242,https://jow.fr/recipes/curry-de-cabillaud-potimarron-et-riz-8v0lb0cpctpufsm10hvp,Curry de cabillaud, potimarron & riz,+4 € par portion,5 minutes,10 minutes,0 minutes,619 kcal,['Cabillaud (frais)', 'Lait de coco', 'Potimarron', 'Pâte de curry (jaune)', 'Riz', 'Persil (frais)'],['1  ', '8 cl', '1/4  ', '1 càc', '70 g', '1/10 bou.'],,,,,,,,,,,,,
2243,https://jow.fr/recipes/wrap-facon-salade-cesar-8v0ljfyhctpufsm10riq,Wrap façon salade césar,2 € et 4 € par portion,3 minutes,10 minutes,0 minutes,292 kcal,['Tortilla (blé)', 'Poulet (pané)', 'Sauce caesar', 'Salade (coeur de laitue)', 'Parmesan (râpé)'],['1  ', '50 g', '1 càs', '1 poignée', '1 càs'],,,,,,,,,,,,,,,,
2244,https://jow.fr/recipes/coquillettes-brocoli-et-epinards-8v0mcyh5ctpufsm10zil,Coquillettes brocoli & épinards,-2 € par portion,3 minutes,15 minutes,0 minutes,587 kcal,['Pâtes (coquillettes)', 'Brocoli (surgelé)', 'Épinards (surgelés)', 'Crème liquide', 'Parmesan (râpé)', 'Mozzarella (râpé)'],['100 g', '60 g', '80 g', '1 càs', '10 g', '10 g'],,,,,,,,,,,,,,
2245,https://jow.fr/recipes/cake-feta-et-macedoine-8v3iddvtctpufsm213m3,Cake feta & macédoine,2 € et 4 € par portion,10 minutes,40 minutes,0 minutes,355 kcal,"['Levure chimique', 'Farine de blé', 'Œuf', 'Lait', 'olive"", ', ', ', ', ', ']']",['1 sac.', '150 g', '3  ', '12 cl', '8 cl', '265 g', '100 g', '75 g'],,,,,,,,,,,,,,,,,
2246,https://jow.fr/recipes/samoussas-boeuf-legumes-et-salade-8v3iluh5ctpufsm215td,Samoussas bœuf, légumes & salade,-2 € par portion,5 minutes,20 minutes,0 minutes,461 kcal,['Feuille de brick', 'Macédoine de légumes (conserve)', 'Bœuf (haché)', 'Curry (poudre)', 'Ail', 'Yaourt nature', 'Salade (Mélange)'],['2  ', '60 g', '70 g', '1 pinc.', '1/2 gou.', '2 càs', '1 poignée'],,,,,,,,,,,
2247,https://jow.fr/recipes/bouillon-nouilles-de-riz-poulet-et-legumes-8v43eqvdctpufsm30hnu,Bouillon nouilles de riz, poulet & légumes ,2 € et 4 € par portion,9 minutes,10 minutes,0 minutes,527 kcal,['Poulet (escalope)', 'Nouilles de riz', 'Champignons bruns', 'Carotte (frais)', 'Petits pois (surgelés)', 'Sauce soja salée', 'Bouillon de volaille (cube)'],['1  ', '50 g', '50 g', '50 g', '50 g', '1 càs', '1/4  '],,,,,,,,,,,
2249,https://jow.fr/recipes/escalope-de-dinde-a-la-creme-de-champignons-et-puree-maison-8v44i1zqjxs002yd0d3n,Escalope de dinde à la crème de champignons & purée maison,2 € et 4 € par portion,7 minutes,17 minutes,0 minutes,644 kcal,"['Dinde (escalope)', 'Champignons de Paris (frais)', 'Crème fraîche', 'ancienne"", ', ', ', ']']",['1  ', '100 g', '1 càs', '1 càc', '250 g', '5 ml'],,,,,,,,,,,,,,,,,,,
2250,https://jow.fr/recipes/curry-de-dinde-au-lait-de-coco-riz-et-brocoli-8v473sqmasz4031h0st8,Curry de dinde au lait de coco, riz & brocoli ,2 € et 4 € par portion,7 minutes,14 minutes,0 minutes,698 kcal,['Dinde (escalope)', 'Brocoli (frais)', 'Riz', 'Lait de coco', 'Curry (poudre)', 'Oignon jaune'],['1  ', '150 g', '70 g', '5 cl', '1 pinc.', '1/4  '],,,,,,,,,,,,,
2251,https://jow.fr/recipes/roti-de-dinde-sauce-curry-moutarde-et-legumes-rotis-8v48bxrnj9zk02ze0nim,Rôti de dinde, sauce curry moutarde & légumes rôtis,2 € et 4 € par portion,10 minutes,45 minutes,0 minutes,441 kcal,['Rôti de dinde', 'Pommes de terre', 'Carotte (frais)', 'Curry (poudre)', 'Moutarde'],['200 g', '200 g', '150 g', '1/2 càc', '1 càc'],,,,,,,,,,,,,,,
2252,https://jow.fr/recipes/one-pan-dinde-pomme-de-terre-et-poireau-8v4ogtbg6z9s03ds0w96,One pan dinde, pomme de terre & poireau,2 € et 4 € par portion,23 minutes,50 minutes,0 minutes,471 kcal,['Dinde (cuisses)', 'Poireau', 'Pommes de terre', 'Yaourt nature', 'Citron jaune', 'Origan (séché)', 'Bouillon de volaille (cube)'],['1  ', '3  ', '800 g', '4 càs', '1  ', '4 pinc.', '1  '],,,,,,,,,,,
2254,https://jow.fr/recipes/samoussa-boeuf-et-legumes-8v76kvjq7sao02ux0t8s,Samoussa bœuf & légumes,,5 minutes,20 minutes,0 minutes,462 kcal,['Feuille de brick', 'Macédoine de légumes (conserve)', 'Bœuf (haché)', 'Curry (poudre)', 'Ail', 'Yaourt nature'],['2  ', '60 g', '70 g', '1 pinc.', '1 gou.', '2 càs'],,,,,,,,,,,,,,
2255,https://jow.fr/recipes/yeux-olives-mozza-et-jambon-8v7shjc3m1z403f00319,Yeux olives, mozza & jambon,,0 minutes,4 minutes,0 minutes,158 kcal,['Olives fourrées au poivron', 'Mozzarella (mini)', 'Jambon cru (Prosciutto)'],['20 g', '4  ', '2 tran.'],,,,,,,,,,,,,,,,,,,
2258,https://jow.fr/recipes/spaghetti-terrifiants-8v9jkua86uts03f512oy,Spaghetti terrifiants ,2 € et 4 € par portion,4 minutes,10 minutes,0 minutes,782 kcal,['Pâtes (spaghetti)', 'Sauce tomate (basilic)', 'Olives fourrées au poivron', 'Mozzarella (mini)'],['100 g', '150 g', '30 g', '60 g'],,,,,,,,,,,,,,,,,,
2259,https://jow.fr/recipes/quiche-chevre-brocolis-et-tomates-sechees-8vb4cyfed534036b0rxa,Quiche chèvre, brocolis & tomates séchées,2 € et 4 € par portion,15 minutes,42 minutes,0 minutes,495 kcal,['Pâte brisée', 'Œuf', 'Crème liquide', 'Lait', 'Chèvre (bûche)', 'Brocoli (frais)', 'Tomates séchées'],['1  ', '3  ', '10 cl', '10 cl', '100 g', '1  ', '120 g'],,,,,,,,,,,
2261,https://jow.fr/recipes/escalope-milanaise-et-riz-a-la-tomate-8vbq3y1himjk02tc03u8,Escalope milanaise & riz à la tomate,2 € et 4 € par portion,5 minutes,20 minutes,0 minutes,643 kcal,['Riz', 'Escalope milanaise', 'Sauce tomate (basilic)', 'Ail', 'Oignon jaune', 'Sauce pesto'],['70 g', '1  ', '100 g', '1/2 gou.', '1/4  ', '1 càc'],,,,,,,,,,,,,,
2264,https://jow.fr/recipes/bacon-burger-et-onion-rings-8vcfe8dqlxeo03jo04b4,Bacon burger & onion rings,+4 € par portion,4 minutes,20 minutes,0 minutes,1071 kcal,['Bœuf (haché)', 'Cheddar (tranches)', 'Salade (coeur de laitue)', 'Pain burger', 'Sauce barbecue', 'Lard (tranches)', 'Onion rings (surgelés)'],['150 g', '1 tran.', '10 g', '1  ', '1 càs', '2 tran.', '5  '],,,,,,,,,,,,
2265,https://jow.fr/recipes/poulet-puree-de-carottes-et-tzatziki-8vcgla7bhyhc03wu042g,Poulet, purée de carottes & tzatziki,2 € et 4 € par portion,2 minutes,10 minutes,0 minutes,384 kcal,['Poulet (escalope)', 'Purée de carotte (surgelée)', 'Salade (Mélange)', 'Tzatziki', 'Ciboulette'],['1  ', '100 g', '1 poignée', '50 g', '1/10 bou.'],,,,,,,,,,,,,,,
2266,https://jow.fr/recipes/galette-vege-puree-de-carotte-et-tzatziki-8vch9drbhyhc03wu0epa,Galette végé, purée de carotte & tzatziki,2 € et 4 € par portion,,7 minutes,0 minutes,477 kcal,['Steak végétal', 'Purée de carotte (surgelée)', 'Salade (Mélange)', 'Tzatziki', 'Persil (frais)'],['1  ', '100 g', '1 poignée', '50 g', '1/10 bou.'],,,,,,,,,,,,,,,
2267,https://jow.fr/recipes/cabillaud-mousseline-de-carotte-et-salade-8vchduxzhyhc03wu0i8k,Cabillaud, mousseline de carotte & salade,+4 € par portion,,7 minutes,0 minutes,327 kcal,['Cabillaud (frais)', 'Purée de carotte (surgelée)', 'Salade (Mélange)', 'Tzatziki', 'Citron jaune', 'Persil (frais)'],['1  ', '100 g', '1 poignée', '50 g', '1/4  ', '1/10 bou.'],,,,,,,,,,,,,
2271,https://jow.fr/recipes/quiche-champignon-et-poulet-bio-8vf98d41eaz403f116sx,Quiche champignon & poulet bio,2 € et 4 € par portion,18 minutes,45 minutes,0 minutes,520 kcal,['Pâte brisée', 'Poulet (escalope bio)', 'Oignon jaune', 'Champignons bruns', 'Comté (râpé)', 'Lait', 'Crème liquide', 'Œuf bio'],['1  ', '2  ', '1  ', '250 g', '100 g', '10 cl', '10 cl', '3  '],,,,,,,,,,
2275,https://jow.fr/recipes/crostini-brie-confiture-de-cerise-et-jambon-de-parme-8vfykbq3etu8037z0xvy,Crostini brie, confiture de cerise & jambon de parme,,2 minutes,5 minutes,0 minutes,352 kcal,['Demi-baguette (précuite)', 'Brie (round)', 'Confiture de cerise', 'Jambon cru'],['1/4  ', '30 g', '2 càc', '2 tran.'],,,,,,,,,,,,,,,,,
2276,https://jow.fr/recipes/crostini-truite-fumee-fromage-frais-et-ciboulette-8vfz4oy0bs3k02zi0c4l,Crostini truite fumée, fromage frais & ciboulette,,2 minutes,5 minutes,0 minutes,252 kcal,['Demi-baguette (précuite)', 'Truite fumée', 'Fromage frais', 'Oignon rouge', 'Ciboulette'],['1/4  ', '2 tran.', '2 càs', '1/8  ', '1/10 bou.'],,,,,,,,,,,,,,,
2279,https://jow.fr/recipes/poulet-au-chutney-vert-et-riz-8vgido7vcr7k035n0t09,Poulet au chutney vert & riz,2 € et 4 € par portion,6 minutes,40 minutes,0 minutes,542 kcal,['Poulet (haut de cuisse)', 'Menthe (feuilles)', 'Coriandre (frais)', 'Gingembre (frais)', 'Citron vert', 'Riz (basmati)'],['1  ', '1/2 bou.', '1/2 bou.', '5 g', '1/4  ', '70 g'],,,,,,,,,,,,,,
2280,https://jow.fr/recipes/fajitas-au-saumon-8vgj4m1dfy5s03da07c8,Fajitas au saumon,+4 € par portion,5 minutes,15 minutes,0 minutes,617 kcal,['Saumon (frais)', 'Poivron (assortiment)', 'Tortilla (blé)', 'Oignon rouge', 'Crème fraîche', 'Mélange épices mexicaines', 'Coriandre (frais)'],['1  ', '1  ', '1  ', '1/4  ', '1 càs', '1 càc', '1/10 bou.'],,,,,,,,,,,,
2281,https://jow.fr/recipes/feuillete-roule-jambon-tomate-et-mozza-8vgl110c5ng003m60s1p,Feuilleté roulé jambon, tomate & mozza,2 € et 4 € par portion,7 minutes,30 minutes,0 minutes,409 kcal,['Pâte feuilletée', 'Sauce pizza', 'Jambon blanc', 'Mozzarella (boule)', 'Herbes de Provence', 'Œuf', 'Parmesan (râpé)'],['1  ', '100 g', '4 tran.', '1  ', '1 càc', '1  ', '20 g'],,,,,,,,,,,
2282,https://jow.fr/recipes/linguine-cremeuses-au-potimarron-8vh3fsa78e0002pw0x06,Linguine crémeuses au potimarron,-2 € par portion,7 minutes,24 minutes,0 minutes,821 kcal,['Pâtes (Linguine)', 'Potimarron', 'Ail', 'Ricotta', 'Parmesan (râpé)', 'Chapelure'],['100 g', '1/4  ', '1/2 gou.', '40 g', '30 g', '1 càs'],,,,,,,,,,,,,,
2283,https://jow.fr/recipes/feuillete-roule-parma-et-pesto-8vjcd6imgtls02z90xcx,Feuilleté roulé parma & pesto,2 € et 4 € par portion,7 minutes,25 minutes,0 minutes,428 kcal,['Pâte feuilletée', 'Sauce pesto', 'Jambon cru', 'Mozzarella (boule)', 'Œuf', 'Parmesan (râpé)'],['1  ', '60 g', '4 tran.', '80 g', '1  ', '20 g'],,,,,,,,,,,,,,
