,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
43,https://jow.fr/recipes/semoule-en-salade-d-ete-818w1no6iszk00ub05cd,Semoule en salade d'été,2 € et 4 € par portion,3 minutes,5 minutes,0 minutes,622 kcal,['Semoule', 'Mozzarella di bufala', 'Avocat', 'Salade (roquette)', 'Sauce pesto', 'Tomate cerise'],['50 g', '1/2  ', '1/2  ', '2 poignées', '1/2 càs', '80 g'],,,,,,,,,,,,,,
44,https://jow.fr/recipes/saute-de-veau-printanier-819ogxpy5tls00xy18po,Sauté de veau printanier,+4 € par portion,7 minutes,12 minutes,0 minutes,775 kcal,['Veau (escalope)', 'Lasagnes (frais)', 'Petits pois (frais)', 'Crème liquide', 'Salade (roquette)', 'Graines de tournesol'],['1  ', '100 g', '80 g', '1 cl', '1 poignée', '10 g'],,,,,,,,,,,,,,
45,https://jow.fr/recipes/salade-vietnamienne-819p05o65tls00xy18pw,Salade Vietnamienne,2 € et 4 € par portion,8 minutes,4 minutes,0 minutes,514 kcal,['Vermicelles de riz', 'Carotte (frais)', 'Concombre', 'Menthe (feuilles)', 'Gingembre (frais)', 'Citron vert', 'Sauce soja salée', 'Cacahuète'],['80 g', '100 g', '100 g', '1/5 bou.', '1 cm', '1/4  ', '1 càs', '10 g'],,,,,,,,,,
46,https://jow.fr/recipes/rumsteak-a-l-italienne-81a31jue5tls00xy18q8,Rumsteak à l'italienne,+4 € par portion,7 minutes,4 minutes,0 minutes,430 kcal,['Bœuf (rumsteck)', 'Salade (roquette)', 'Parmesan (morceaux)', 'Sauce pesto', 'Pignons de pin'],['1  ', '2 poignées', '30 g', '1 càc', '1 càs'],,,,,,,,,,,,,,,,
47,https://jow.fr/recipes/orecchiette-courgette-ricotta-81a62bhy5tls00xy18ql,Orecchiette courgette ricotta,-2 € par portion,4 minutes,10 minutes,0 minutes,556 kcal,['Pâtes (Orecchiette)', 'Courgette', 'Ail', 'Ricotta', 'Menthe (feuilles)', 'Citron jaune', 'Pignons de pin'],['100 g', '1/2  ', '1/2 gou.', '1 càs', '1/10 bou.', '1/4  ', '1 càs'],,,,,,,,,,,,
48,https://jow.fr/recipes/wrap-veggie-81d5m839f8zk00vl1dmw,Wrap veggie,2 € et 4 € par portion,0 minutes,5 minutes,0 minutes,406 kcal,['Avocat', 'Tortilla (blé)', 'Fromage frais', 'Concombre', 'Pignons de pin', 'Épinard (frais)'],['1/2  ', '1  ', '30 g', '1/5  ', '1 càs', '1/2 poignée'],,,,,,,,,,,,,,
49,https://jow.fr/recipes/wok-de-boeuf-legumes-croquants-81dlcngs7jhc00v318va,Wok de bœuf légumes croquants,+4 € par portion,6 minutes,12 minutes,0 minutes,314 kcal,['Bœuf (rumsteck)', 'Carotte (frais)', 'Petits pois (frais)', 'Courgette', 'Graines de sésame', 'Gingembre (frais)'],['1  ', '1  ', '50 g', '1/2  ', '1/2 càc', '1 cm'],,,,,,,,,,,,,,
52,https://jow.fr/recipes/poulet-cacahuete-legumes-croquants-81ex0nr3a7b400vj0vg6,Poulet cacahuète légumes croquants,2 € et 4 € par portion,6 minutes,10 minutes,0 minutes,433 kcal,['Beurre de cacahuète', 'Poulet (escalope)', 'Brocoli (frais)', 'Sauce soja salée', 'Petits pois (frais)'],['1 càs', '1  ', '150 g', '1 càs', '80 g'],,,,,,,,,,,,,,,,
53,https://jow.fr/recipes/salade-artichauts-et-noisettes-81ey46yna7b400vj0vkp,Salade artichauts & noisettes,2 € et 4 € par portion,0 minutes,5 minutes,0 minutes,338 kcal,['Artichauts marinés', 'Salade (roquette)', 'Parmesan (morceaux)', 'Noisette'],['120 g', '2 poignées', '40 g', '10 g'],,,,,,,,,,,,,,,,,,
55,https://jow.fr/recipes/papillote-saumon-couscous-81gnbjqkmf3k00tp0duk,Papillote saumon couscous,+4 € par portion,6 minutes,17 minutes,0 minutes,520 kcal,['Couscous aux épices', 'Saumon (frais)', 'Tomates séchées', 'Oignon nouveau', 'Papier cuisson'],['50 g', '1  ', '30 g', '1  ', '40 cm'],,,,,,,,,,,,,,,,
56,https://jow.fr/recipes/salade-lyonnaise-81gnf3ccmf3k00tp0dw1,Salade Lyonnaise,2 € et 4 € par portion,3 minutes,6 minutes,0 minutes,589 kcal,"['Œuf', 'Lardons', 'Salade (coeur de laitue)', 'Pain de campagne (tranché)', 'ancienne"", ', ']']",['1  ', '50 g', '2 poignées', '1 tran.', '1 càc', '30 g'],,,,,,,,,,,,,,,,,,,
57,https://jow.fr/recipes/salade-de-brocolis-81hx19jx2nv400zi12ob,Salade de brocolis,2 € et 4 € par portion,5 minutes,7 minutes,0 minutes,312 kcal,['Brocoli (frais)', 'Chèvre frais', 'Noisette', 'Salade (Mélange)'],['250 g', '2 càs', '10 g', '1 poignée'],,,,,,,,,,,,,,,,,,
59,https://jow.fr/recipes/courgettes-poelees-en-salade-81lv6mrikp9c00xy13hk,Courgettes poêlées en salade,2 € et 4 € par portion,5 minutes,5 minutes,0 minutes,421 kcal,['Courgette', 'Sauce pesto', 'Tomate cerise', 'Salade (roquette)', 'Olive noire dénoyautée', 'Jambon cru'],['1  ', '1/4 càs', '7  ', '1 poignée', '30 g', '2 tran.'],,,,,,,,,,,,,,
60,https://jow.fr/recipes/polpette-a-l-italienne-et-polenta-81lx2681i05s00tr0h0q,Polpette à l'italienne & polenta,2 € et 4 € par portion,10 minutes,10 minutes,0 minutes,713 kcal,['Polenta', 'Parmesan (râpé)', 'Lait', 'Bœuf (haché)', 'Échalote', 'Sauce tomate (basilic)', 'Basilic (frais)', 'Chapelure', 'Œuf'],['50 g', '2 càs', '25 cl', '100 g', '1/4  ', '80 g', '1/10 bou.', '1 càs', '1/4  '],,,,,,,,
61,https://jow.fr/recipes/grilled-cheese-cochon-81lzij4pfjg0fwp70veo,Grilled cheese cochon,2 € et 4 € par portion,5 minutes,4 minutes,0 minutes,638 kcal,['Pain de mie', 'Fromage frais', 'Comté', 'Jambon blanc', 'Ciboulette'],['4 tran.', '30 g', '15 g', '2 tran.', '1/10 bou.'],,,,,,,,,,,,,,,,
63,https://jow.fr/recipes/saumon-mi-cuit-et-salade-citronnee-81ml7fbwkco000sp0p4r,Saumon mi-cuit & salade citronnée,+4 € par portion,3 minutes,10 minutes,0 minutes,583 kcal,['Concombre', 'Saumon (frais)', 'Mélange céréales', 'Citron jaune', 'Menthe (feuilles)'],['40 g', '1  ', '80 g', '1/4  ', '3/10 bou.'],,,,,,,,,,,,,,,,
65,https://jow.fr/recipes/tournedos-beurre-de-coriandre-et-haricots-81oq5axibhtc00vb04y4,Tournedos beurre de coriandre & haricots,+4 € par portion,5 minutes,10 minutes,0 minutes,390 kcal,['Bœuf (tournedos)', 'Haricot vert (frais)', 'Beurre', 'Coriandre (frais)'],['1  ', '200 g', '20 g', '1/5 bou.'],,,,,,,,,,,,,,,,,,
66,https://jow.fr/recipes/tournedos-beurre-persille-et-puree-81oqjedybhtc00vb050w,Tournedos beurre persillé & purée,+4 € par portion,5 minutes,20 minutes,0 minutes,707 kcal,['Pommes de terre', 'Lait', 'Beurre', 'Bœuf (tournedos)', 'Persil (frais)'],['250 g', '5 cl', '40 g', '1  ', '1/5 bou.'],,,,,,,,,,,,,,,,
67,https://jow.fr/recipes/boeuf-sauce-roquefort-81or60lybhtc00vb0520,Bœuf sauce roquefort,+4 € par portion,3 minutes,20 minutes,0 minutes,630 kcal,['Pommes de terre grenailles (surgelées)', 'Bœuf (steak)', 'Crème liquide', 'Roquefort'],['250 g', '1  ', '2 cl', '10 g'],,,,,,,,,,,,,,,,,,
